timestamp,question #,question,A,B,C,correct
2/8/2018 20:12,11,Which of these people was born with the same name as a famous ketchup?,Henry Ford,Karl Marx,Henry Kissinger,C
2/9/2018 2:06,1,What form of energy do batteries provide?,Synergy,Emotional,Electrical,C
2/9/2018 2:07,2,"Which ""Rose"" was the lead singer of Guns N' Roses?",Pete,Jalen,Axl,C
2/9/2018 2:08,3,"In a best-selling Little Golden Book, who was ""The Monster at The End of This Book""?",Sesame Street's Grover,Dracula,The reader,A
2/9/2018 2:08,4,"""Embarazada"" is the Spanish word for what?",Naked,Pregnant,Embarrassed,B
2/9/2018 2:09,5,Which American car manufacturer first introduced seat belts?,Jeep,Ford,Nash,C
2/9/2018 2:10,6,Which of these authors has NOT written a comic book about Black Panther?,Roxane Gay,Ta-Nehisi Coates,Cornel West,C
2/9/2018 2:12,7,"Last year, Microsoft angered customers by announcing it would eliminate what Windows software?",WordPad,Solitaire,Paint,C
2/9/2018 2:12,8,A 1984 Devo album has the same name as a massive 1984 single by what band?,The Human League,Pet Shop Boys,Tears for Fears,C
2/9/2018 2:14,10,"In da Vinci's ""Last Supper,"" which disciple is depicted holding a weapon?",Peter,Judas,John,A
2/9/2018 20:05,1,Which term is shorthand for a useful item when changing a flat tire?,Surplus,Spare,Supplement,B
2/9/2018 20:07,3,What Olympic legend was the subject of a song in an Oscar-nominated 1999 film?,Brian Boitano,Kristi Yamaguchi,Michelle Kwan,A
2/9/2018 20:09,4,Which of these items would be measured on the Scoville scale?,Habanero,Typhoon,Emerald,A
2/9/2018 20:10,5,Which of these iconic African-American leaders was NOT born into slavery?,W.E.B. Du Bois,Frederick Douglass,Booker T. Washington,A
2/9/2018 20:10,6,A cat with what fur pattern is almost always female?,Calico,Tuxedo,Tabby,A
2/9/2018 20:11,7,Which nation does NOT have a two-word capital city?,Brunei,Ethiopia,Malaysia,A
2/9/2018 20:13,9,The athlete who has competed in the most Olympic games hails from which country?,Canada,Finland,Japan,A
2/9/2018 20:13,10,Which of these fonts was NOT created by Microsoft?,Comic Sans,Verdana,Papyrus,C
2/9/2018 20:14,11,"In the first known use of ""mammoth"" as an adjective, what item was it describing?",Hunk of cheese,Empire State Building,Dinosaur,A
2/9/2018 20:16,12,Which of these countries has a lower gross domestic product than any U.S. state?,Ecuador,Uzbekistan,Iceland,C
2/10/2018 2:07,1,"Which of these Olympians is most likely to perform a lutz, axel or toe loop jump?",Michael Phelps,Usain Bolt,Kristi Yamaguchi,C
2/10/2018 2:09,2,From what country did the American colonies win their independence?,Japan,Wakanda,Great Britain,C
2/10/2018 2:09,3,Which of these animals is NOT native to Australia?,Capybara,Wallaby,Koala,A
2/10/2018 2:10,4,Which congressman participated in the Selma to Montgomery marches of 1965?,Cedric Richmond,John Lewis,Jason Lewis,B
2/10/2018 2:11,5,The Ark of the Covenant supposedly contains what religious artifact?,The Ten Commandments,The Holy Grail,Shroud of Turin,A
2/10/2018 2:13,6,Which of these actors is incapable of making a fist with his left hand?,Al Pacino,Morgan Freeman,Anthony Hopkins,B
2/10/2018 2:13,7,Which of these is NOT a term used in Olympic curling?,Hogged stone,Burned stone,Chunked stone,C
2/10/2018 2:13,8,"The ""Cha-Cha Slide"" includes a dance move named after what cartoon character?",Scooby-Doo,Daffy Duck,Charlie Brown,C
2/10/2018 2:14,9,Portuguese is an official language of which country?,Equatorial Guinea,Papua New Guinea,Republic of Guinea,A
2/10/2018 2:15,11,Which chemical compound would you NOT use to create red and blue fireworks?,Sodium nitrate,Strontium carbonate,Copper chloride,A
2/10/2018 2:17,12,King Louis XIV's Palace of Versailles contained over 150 pieces of furniture made entirely of what?,Silver,Ivory,Ebony,A
2/11/2018 2:07,1,Which of the following is NOT used to describe someone from that particular state?,Wisconsinian,Utahn,Connecticuter,A
2/11/2018 2:09,2,Lonnie Johnson accidentally created the Supersoaker while trying to build what?,Heat pump,Nerf Blaster rival,Efficient sprinklers,A
2/11/2018 2:10,3,"In gardening, what word refers to overall health and usability of soil?",Loam,Tilth,Humus,B
2/11/2018 2:11,4,Which type of musical composition is also an Olympic figure skating jump?,Sarabande,Bagatelle,Mazurka,C
2/11/2018 2:13,6,The westernmost region of Russia touches which of these countries?,Poland,Norway,Ukraine,A
2/12/2018 2:05,1,Which animals race at the Kentucky Derby?,Horses,Wiener dogs,Locusts,A
2/12/2018 2:06,2,What is the name for anger experienced while driving a car?,Highway displeasure,Street sadness,Road rage,C
2/12/2018 2:07,3,Which of these products is a depilatory?,Nair,Rogaine,Pomade,A
2/12/2018 2:08,4,Which of these songs was NOT recorded by the Beach Boys?,Surf's Up,Surf City,Surfer Girl,B
2/12/2018 2:08,5,Auguste Rodin's statue The Thinker is meant to represent what real-life person?,Dante Alighieri,Michelangelo,Auguste Rodin,A
2/12/2018 2:09,6,Which of these is an alveolar disorder?,Pneumonia,Strep throat,Psoriasis,A
2/12/2018 2:10,7,Which of these two-letter combos is an acceptable word in Scrabble?,Fi,Ro,Da,C
2/12/2018 2:11,8,Which of these Adam Sandler movies has a female director?,Billy Madison,The Wedding Singer,Big Daddy,A
2/12/2018 2:12,9,Which position was first held in the last year of the previous century?,Mayor of Singapore,Mayor of London,Mayor of Baghdad,B
2/12/2018 2:13,10,Which author's Pulitzer Prize-winning novel was adapted into a Broadway musical?,Jane Smiley,Annie Proulx,Alice Walker,C
2/12/2018 2:14,11,The first edition of the CNN show Crossfire featured which host?,John Sununu,Pat Buchanan,Tucker Carlson,B
2/12/2018 2:15,12,"According to the Book of Leviticus, which of these animals is kosher to eat?",Owl,Cricket,Rabbit,B
2/12/2018 2:15,13,"Bart's age on ""The Simpsons"" is NOT the same as which of these characters?",Ash from Pokémon,Encyclopedia Brown,Nancy Drew,C
2/12/2018 2:18,15,The author who created Tarzan once worked for which of these publications?,Sports Illustrated,Paris Review,Sears catalog,C
2/12/2018 20:04,1,What is the mid-day meal usually called?,Jack Bauer Power Hour,Lunch,Sleepy time,B
2/12/2018 20:05,2,In what part of a newspaper would you post an item for sale?,Sports section,Weather page,Classifieds,C
2/12/2018 20:06,3,"The ""skyhook"" is a move in which of these sports?",Polo,Acrobatics,Basketball,C
2/12/2018 20:07,4,What U.S. state borders only one other U.S. state?,Alaska,Maine,Rhode Island,B
2/12/2018 20:07,5,"The author of ""The Picture of Dorian Gray"" was born in what country?",France,Ireland,United States,B
2/12/2018 20:08,6,What is the name of London's electronic public transit pass?,Opal,Oyster,Presto,B
2/12/2018 20:09,7,"According to Marie Kondo, you should only own material items with what quality?",Eco-friendly,Useful in daily life,Spark joy,C
2/12/2018 20:10,8,Which of these North American deserts is the smallest?,Sonoran Desert,Mojave Desert,Chihuahuan Desert,B
2/12/2018 20:11,9,"Which Secretary-General of the United Nations once appeared on ""Da Ali G Show""?",Kofi Annan,Ban Ki-moon,Boutros Boutros-Ghali,C
2/12/2018 20:12,10,"One thousand years ago, which of these regions was heavily populated with Moorish people?",Albion,Novgorod,Iberia,C
2/12/2018 20:13,11,The first official African-American fraternity was founded at what university?,Howard,Clemson,Cornell,C
2/12/2018 20:14,12,Which of these things did Skee-Lo NOT wish for in his hit '90s song?,1964 Impala,White shirt collar,Child named Big Al,B
2/13/2018 2:05,1,Who famously painted the ceiling of the Sistine Chapel?,Michelangelo,Bob Ross,Mr. Brainwash,A
2/13/2018 2:05,2,Which U.S. coin features a portrait of Abraham Lincoln?,Kennedy half-dollar,Buffalo nickel,Penny,C
2/13/2018 2:06,3,Which of these is NOT a unit of temperature?,Celsius,Fahrenheit,Hectare,C
2/13/2018 2:07,4,"The R.E.M. song ""Man on the Moon"" was written about what comedian?",Jim Carrey,Mitch Hedberg,Andy Kaufman,C
2/13/2018 2:08,5,"What disease gets its name from the Italian term for ""bad air""?",Influenza,Malaria,Asthma,B
2/13/2018 2:09,6,Students of Auguste Escoffier would have known how to do what?,Design a chateau,Perform a grand jeté,Prepare a velouté,C
2/13/2018 2:10,7,A 1976 book by Richard Dawkins introduced what now-common word?,Android,Emoticon,Meme,C
2/13/2018 2:11,8,"Which voice actor from ""The Emperor's New Groove"" was once blacklisted in Hollywood?",Eartha Kitt,Wendie Malick,Tom Jones,A
2/13/2018 2:12,9,Which of these is NOT a menu option for ordering hash browns at Waffle House?,Capped,Slathered,Chunked,B
2/13/2018 2:12,10,"What math concept is traditionally notated by a tall, S-shaped curve?",Second derivative,Series,Integral,C
2/13/2018 2:14,11,Which of these supposedly hip cities does NOT have an Instagram filter named after it?,Nashville,Austin,Brooklyn,B
2/13/2018 2:15,12,The inventor of the board game Risk also directed what award-winning film?,The 400 Blows,The Red Balloon,Last Year at Marienbad,B
2/13/2018 20:04,1,"According to legend, what vessel is most likely to contain a wish-granting genie?",Magic limo,Magic lamp,Magic loofah,B
2/13/2018 20:05,2,"Which of these destinations is legally allowed to bill itself as ""The Happiest Place on Earth""?",Maryland,Orlando,Disneyland,C
2/13/2018 20:05,3,"At New Orleans Mardi Gras, what are float riders required to wear by law?",Tuxedos,Masks,Sweater vests,B
2/13/2018 20:06,4,Which of these is NOT part of the three-word Olympic motto?,Thicker,Higher,Faster,A
2/13/2018 20:07,5,Cirque du Soleil is a theater troupe first formed in which country?,USA,Canada,France,B
2/13/2018 20:08,6,Which of these films does NOT prominently feature identical twins?,Adaptation,The Parent Trap,Twins,C
2/13/2018 20:09,7,"The painting ""Washington Crosses the Delaware"" has appeared on which state quarter?",New Jersey,Delaware,Washington,A
2/13/2018 20:10,8,The 2008 Olympics were the first time the medals contained what material?,Jade,Amber,Coral,A
2/13/2018 20:10,9,"When written in all caps, which insult refers to a common type of computer user interface?",Clod,Wimp,Dolt,B
2/13/2018 20:12,11,"The ""Father of Art Deco"" designed over 200 covers for which magazine?",New Yorker,Harper's Bazaar,Vogue,B
2/14/2018 2:04,1,"Who is Robert Downey, Jr.'s father?","Robert Downey, Sr.",Chet Downey III,"Morton Downey, Jr.",A
2/14/2018 2:05,2,"In July of 2017, Joey Chestnut set a world record by consuming 72 what?",Pickles,Hot dogs,Raw oysters,B
2/14/2018 2:07,3,Who just became the youngest woman to win gold in Olympics snowboarding?,Khloé Kardashian,Chloë Grace Moretz,Chloe Kim,C
2/14/2018 2:08,4,"In Ancient Greece, Olympic athletes typically competed wearing what?",Togas,Laurel wreaths,Nothing at all,C
2/14/2018 2:08,5,"What pop star first recorded under the same name as the so-called ""sailor's devil""?",Elton John,David Bowie,Freddie Mercury,B
2/14/2018 2:09,6,"In the King James Bible, which of these measures ""six cubits and a span""?",Stone tablet,Noah's Ark,Goliath,C
2/14/2018 2:10,7,Which of these is NOT a palindrome?,A Toyota's a Toyota,Was it a rat I saw?,"Walk sir, I'll risk law",C
2/14/2018 2:11,8,Aaron Sorkin &amp; Quentin Tarantino helped write the screenplay to which movie?,The Rock,Con Air,Face/Off,A
2/14/2018 2:12,9,"In 1997, Alabama's state bar association put up a monument to whom?",Atticus Finch,John Grisham,William Jennings Bryan,A
2/14/2018 2:13,10,"What Canadian city aptly takes its name from a Cree term for ""muddy water""?",Winnipeg,Ottawa,Toronto,A
2/14/2018 2:14,11,Which of these performers was part of the first Lollapalooza festival lineup?,Soundgarden,Depeche Mode,Ice-T,C
2/14/2018 20:04,1,Hamburgers are usually made with what?,Yarn,Ground beef,Sweet dreams,B
2/14/2018 20:05,2,Who is the reigning monarch of Great Britain?,Queen Elizabeth,Prince Paul,King Koopa,A
2/14/2018 20:07,3,Which of these is a tool used for glass blowing?,Swage,Rotary cutter,Punty,C
2/14/2018 20:08,4,Which of these animals has a species named after Ferdinand Magellan?,Penguin,Otter,Dolphin,A
2/14/2018 20:09,6,Ancient Egyptians shaved their eyebrows when what occurred?,Pharaoh became ill,House cat passed away,Harvest was bountiful,B
2/14/2018 20:10,7,Which legendary writer used to live with Marlon Brando?,Jack Kerouac,Allen Ginsberg,James Baldwin,C
2/14/2018 20:11,8,Which of these animals does NOT possess chromatophores?,Cuttlefish,Zebrafish,Peacock,C
2/15/2018 2:06,1,Which of these U.S. TV shows airs earliest in the day?,Mad Money,Good Morning America,World News Tonight,B
2/15/2018 2:06,2,Neil Armstrong was the first person to do what?,Run a 4-minute mile,Walk on the moon,Dunk a basketball,B
2/15/2018 2:07,3,"Traditionally made with cheese, what Swiss dish means ""melted"" in French?",Meringue,Fondue,Quiche,B
2/15/2018 2:08,4,"Which novel is set in a land named after the Latin word for ""bread""?",The Silver Chair,The Hunger Games,Fahrenheit 451,B
2/15/2018 2:08,5,During which holiday are the most greeting cards in the U.S. sold?,Christmas,Valentine's Day,Mother's Day,A
2/15/2018 2:10,6,"In ""Pulp Fiction,"" Samuel L. Jackson claims his iconic monologue comes from what book of the Bible?",Ezekiel,Leviticus,Exodus,A
2/15/2018 2:12,9,Which inventor boarded a steamer ship in 1913 and was never seen alive again?,Nikola Tesla,Rudolf Diesel,George Eastman,B
2/15/2018 2:12,10,Which of these famous buildings contains vomitoria?,The Parthenon,Madison Square Garden,Sistine Chapel,B
2/15/2018 2:14,11,What TV acting award has Julia Louis-Dreyfus won the fewest number of times?,Golden Globe,Primetime Emmy,SAG Award,A
2/15/2018 20:04,1,Which of these is a common type of salad?,Caesar salad,Cedar salad,Scenic salad,A
2/15/2018 20:05,2,Elephants are known for their sense of what?,Humor,Smell,Style,B
2/15/2018 20:06,3,Which of these sports is played with a paddle?,Lacrosse,Pickleball,Handball,B
2/15/2018 20:06,4,Which of these is NOT one of the first Starburst flavors?,Lime,Lemon,Cherry,C
2/15/2018 20:07,5,"How is the first name of the lead actor of ""The English Patient"" pronounced?","""Rolf""","""Rafe""","""Ralf""",B
2/15/2018 20:08,6,"When it comes to clothing, what is peplum?",Shoulder pad,Neck seam,Ruffle,C
2/15/2018 20:09,7,The wife of which of these writers inspired the title of a popular video game?,Ernest Hemingway,Arthur Miller,F. Scott Fitzgerald,C
2/15/2018 20:10,8,Which of these is NOT a defunct Yahoo product?,Leap,Buzz,Mash,A
2/15/2018 20:11,9,"In the original children's book ""Flat Stanley,"" what falling item flattens Stanley?",Refrigerator,Baby grand piano,Bulletin board,C
2/15/2018 20:12,10,"In a viral photo of Dwayne ""The Rock"" Johnson in a turtleneck, what is his arm leaning on?",Ladder,Pillow,Tissues,C
2/15/2018 20:13,11,Which U.S. island's municipal bonds are NOT triple tax-exempt?,Culebra,Molokai,Cabras Island,B
2/15/2018 20:14,12,The Hermès Birkin handbag was born thanks to a random meeting where?,On an airplane,At a museum,In a restaurant,A
2/16/2018 20:03,1,"In the Mother Goose nursery rhyme, what did Little Miss Muffet sit on?",Whoopee cushion,Tuffet,Blueberry muffin,B
2/16/2018 20:04,2,"According to the Chinese zodiac, 2018 is now officially the Year of the what?",Dog,Surly Neighbor,Careless Whisper,A
2/16/2018 20:05,3,What foliage did Adam and Eve use to cover up?,Maple leaf,Black locust leaf,Fig leaf,C
2/16/2018 20:06,4,Which household device was created by iRobot?,Nest,Robomow,Roomba,C
2/16/2018 20:06,5,The mosaic pavement streets of Rio de Janeiro contain numerous examples of what?,QR codes,Google Doodles,Emoji,A
2/16/2018 20:07,6,Which of these drinks is often classified into culinary and ceremonial grades?,Yerba mate,Kombucha,Matcha,C
2/16/2018 20:08,7,Microblading eyebrows essentially consists of doing what?,Drawing them in,Trimming them,Plucking them,A
2/16/2018 20:09,8,"What rating does Dudley Moore give Bo Derek's character in the film ""10""?",Higher than ten,Lower than ten,Ten,A
2/16/2018 20:09,9,Which of these toys has NOT been to space?,Etch A Sketch,Slinky,Lego,A
2/16/2018 20:10,10,Which of these soprano singing ranges has the lowest tessitura?,Soubrette,Coloratura,Dramatic,C
2/16/2018 20:11,11,"Before creating Hotmail, the two founders worked together at what company?",Hewlett-Packard,Microsoft,Apple,C
2/16/2018 20:12,12,"Which animal is NOT depicted in Rembrandt's ""The Night Watch""?",Mouse,Chicken,Dog,A
2/17/2018 2:06,1,What is traditional to wear on St. Patrick's Day?,Fancy gown,The color green,Minions onesie,B
2/17/2018 2:06,2,Which of these is a national hamburger chain?,Puddchuckers,Huddsuckers,Fuddruckers,C
2/17/2018 2:07,3,Which of these is NOT a pseudonym?,George Eliot,George Orwell,George Saunders,C
2/17/2018 2:08,4,"In baseball, ""Mendoza line"" is a nickname for what?",.200 batting average,Rubber on pitching mound,Hard-hit ball,A
2/17/2018 2:08,5,"The director of ""Lady Bird"" starred in which indie movie?",Room,Frances Ha,Brooklyn,B
2/17/2018 2:09,6,What sport is often played with an item resembling a Buckminsterfullerene molecule?,Badminton,American football,Soccer,C
2/17/2018 2:10,7,Nearly every episode of which TV show is named after a song title?,Glee,Gossip Girl,Grey's Anatomy,C
2/17/2018 2:11,8,Which is NOT a correct pairing of tablet and tablet maker?,Streak / Toshiba,ATIV / Samsung,Xoom / Motorola,A
2/17/2018 2:12,9,"Which philosopher directly inspired many of the lyrics on Radiohead's ""OK Computer""?",Friedrich Nietzsche,Adam Smith,Noam Chomsky,C
2/17/2018 2:12,10,Which fitness brand was established first?,NordicTrack,Bowflex,Thighmaster,A
2/17/2018 2:14,11,Which of these titles is currently held by nobody?,Duke of Windsor,Duke of Kent,Duke of Gloucester,A
2/18/2018 2:03,1,"In kickball, what are players meant to use to propel the ball onto the field?",Oven mitt,Foot,Stuffed jackalope,B
