timestamp,question #,question,A,B,C,correct,wrong,tryed_to_solve,right,time,
2/3/2018 2:12,8,New Mexico exempts which group of people from paying state income taxes?,Hybrid car owners,Centenarians,Registered lobbyists,B,,NO_TRY,,2.231814623,
2/3/2018 2:14,9,Which of these Summer Olympics events uses the longest playing surface?,Fencing,Badminton,Taekwondo,A,,,RIGHT,1.582288504,
2/4/2018 2:04,1,"The college degree ""B.A."" is short for what?",Bachelor of Arts,Booyah Awesome,Beefy Arms,A,,,RIGHT,1.125021696,
2/4/2018 2:05,2,Which country is part of North America?,Norway,Brazil,Canada,C,,,RIGHT,1.609971762,
2/4/2018 2:05,3,Which tool is typically used to clear a clogged pipe?,Claw hammer,Snake,Shovel,B,,NO_TRY,,1.078841686,
2/4/2018 2:07,4,Which of the original Monopoly game pieces was retired last year?,Thimble,Race car,Top hat,A,,,RIGHT,1.93625617,
2/4/2018 2:08,5,Which film director holds a U.S. patent for a T-shirt?,Quentin Tarantino,Francis Ford Coppola,James Cameron,B,,,RIGHT,3.086809158,
2/4/2018 2:09,6,Which food is traditionally a main ingredient in mock turtle soup?,Calf brains,Tortoise meat,Snails,A,,NO_TRY,,1.243270397,
2/4/2018 2:09,7,"Aerosmith's ""Dude (Looks Like a Lady)"" was written about what heavy metal vocalist?",Axl Rose,Bret Michaels,Vince Neil,C,,,RIGHT,1.795348883,
2/4/2018 2:10,8,"Which of these is Venus visibly lacking in Botticelli's ""Birth of Venus""?",Belly button,Left arm,Body hair,C,,NO_TRY,,1.178011417,
2/4/2018 2:11,9,Boston and Buffalo have both been home to major pro sports teams named what?,Giants,Angels,Braves,C,,,RIGHT,1.223118782,
2/4/2018 2:12,10,Which type of animal has been kept as a White House pet by a U.S. president?,Cow,Lemur,Sugar glider,A,,,RIGHT,4.007927179,
2/4/2018 2:13,11,"In the 1800s, a chemistry student making synthetic quinine accidentally created what dye?",Mauve,Periwinkle,Turquoise,A,,,RIGHT,1.530035973,
2/5/2018 20:05,1,Tic-tac-toe is typically played by writing what two symbols?,Yin and yang,+ / -,X / O,C,,NO_TRY,,1.510868073,
2/5/2018 20:06,2,What's the anatomical name for the center of a hurricane?,Shinbone,Pancreas,Eye,C,,,RIGHT,1.418149471,
2/5/2018 20:06,3,Which of these is an actual Winter Olympics event?,Skeleton,Ghostathlon,Frankensteining,A,,,RIGHT,1.273547173,
2/5/2018 20:07,4,A high-tech store with no cashiers recently opened in Seattle under what name?,Amazon Go,Google Shop,Microsoft Zip,A,,,RIGHT,3.988581657,
2/5/2018 20:08,5,"By definition, which of these people is guilty of treason?",Scullion,Poltroon,Quisling,C,,,RIGHT,1.693336248,
2/5/2018 20:09,6,Which of these actors turned down the role of Frasier Crane?,Bob Balaban,John Lithgow,Dan Aykroyd,B,,,RIGHT,1.128624916,
2/5/2018 20:10,7,The Benihana company has a restaurant in which of these places?,China,Aruba,Japan,B,WRONG,,,1.713135004,
2/5/2018 20:10,8,Which has been the last name of a U.S. president AND a British prime minister?,Hayes,Arthur,Wilson,C,WRONG,,,1.350752592,
2/5/2018 20:12,10,In what medium was Superman's Kryptonite weakness introduced?,The radio series,The 1978 movie,Action Comics #64,A,,NO_TRY,,2.081576347,
2/5/2018 20:15,12,What costume was worn by the original lead singer of the Village People?,Cowboy,Policeman,Construction worker,B,WRONG,,,2.997549534,
2/6/2018 2:05,1,A spork is a utensil that combines what two things?,Spam / pork,Sponge / cork,Spoon / fork,C,,NO_TRY,,1.550918579,
2/6/2018 2:06,2,"On a compass, what does the letter N typically stand for?",Norbit,North,Nordic,B,,,RIGHT,1.709274054,
2/6/2018 2:06,3,"In 2017, what did Twitter do to its 140-character limit on tweets?",Double it,Halve it,Reduce it to 15,A,,NO_TRY,,1.440152168,
2/6/2018 2:08,4,"What popular corn chip loosely translates to ""little golden things"" in Spanish?",Tostitos,Fritos,Doritos,C,,NO_TRY,,1.768635273,
2/6/2018 2:12,5,U.S. air traffic controllers refer to the plane the Pope travels on by what official call sign?,Shepherd One,Il Papa,Air Vatican,A,,NO_TRY,,3.429858446,
2/6/2018 2:12,6,What zodiac sign features a creature that defends itself with an aculeus?,Cancer,Sagittarius,Scorpio,C,WRONG,,,1.317795515,
2/6/2018 2:13,7,Who was the first U.S. president to enjoy indoor plumbing at the White House?,Millard Fillmore,Andrew Jackson,John Adams,B,WRONG,,,2.27983284,
2/6/2018 2:14,8,"From 2000 to 2002, what MLB team's stadium was named for a company that no longer exists?",Angels,Rays,Astros,C,WRONG,,,64.48794389,
2/6/2018 2:15,9,The lunar module for the Apollo 10 moon mission was nicknamed what?,Eagle,Beagle,Snoopy,C,,,RIGHT,2.268074274,
2/6/2018 2:16,11,"After Prince Edward Island, what is Canada's most densely populated province?",New Brunswick,Ontario,Nova Scotia,C,WRONG,,,1.236572981,
2/6/2018 20:04,1,What is a common remedy for dehydration?,Drinking water,Running a marathon,Slaying a hydra,A,,NO_TRY,,1.510790348,
2/6/2018 20:07,2,"The band that recorded ""September"" is named ""Earth, Wind & "" what?",Frederick,Fire,Flagellum,B,,,RIGHT,1.922131777,
2/7/2018 2:05,1,"In the classic fairy tale, who is Little Red Riding Hood's enemy?",Big Baller Brand,Big Lebowski,Big Bad Wolf,C,,,RIGHT,3.087103128,
2/7/2018 2:05,2,Pantene Pro-V and Garnier Fructis are popular types of what?,ShamWow,Shampoo,Champagne,B,,,RIGHT,2.127010822,
2/7/2018 2:06,3,A bed that folds up into the wall is commonly known as what?,Sully bed,Fitzy bed,Murphy bed,C,,,RIGHT,1.187729597,
2/7/2018 2:07,4,Which of these colleges does NOT have a physical location?,Electoral College,Deep Springs College,Hampshire College,A,,NO_TRY,,1.618311882,
2/7/2018 2:08,5,Which of these desserts is often made with ladyfingers?,Tiramisu,Magdalena,Financier,A,,,RIGHT,1.461301327,
2/7/2018 2:09,6,Which of these is a real illness that affects rabbits?,Ruffles,Fluffles,Snuffles,C,,NO_TRY,,1.622045755,
2/7/2018 2:09,7,The Doors are named after a famous essay by the author of what iconic novel?,Lolita,On the Road,Brave New World,C,,NO_TRY,,2.991267681,
2/7/2018 2:10,8,Which TV news host once wrote about his first date with Monica Lewinsky?,Jake Tapper,Van Jones,Chris Hayes,A,,NO_TRY,,1.498418093,
2/7/2018 2:11,9,"The famous German phrase ""Sturm und Drang"" comes from what?",Poem,Novel,Play,C,WRONG,,,1.225703478,
2/7/2018 2:12,10,In which African country is English NOT the official language?,Sierra Leone,Liberia,Chad,C,WRONG,,,1.336664438,
2/7/2018 2:13,11,Which 90s movie is an anagram of the original book title which the film is based on?,Free Willy,October Sky,Jumanji,B,,NO_TRY,,1.242808819,
2/7/2018 2:14,12,Which legendary music producer is closely related to former President Jimmy Carter?,Jeff Lynne,Brian Eno,Berry Gordy,C,,NO_TRY,,2.903508186,
2/7/2018 20:05,1,"Which of these websites is an online database for movies, television and video games?",Petfinder,IMDb,Yelp,B,,,RIGHT,2.562400341,
2/7/2018 20:06,2,What does bicameral mean?,Two camels,Two cameras,Two chambers,C,,NO_TRY,,1.300362587,
2/7/2018 20:07,3,A galleon is an old-fashioned type of what?,Ship,Measurement,Dress,A,,,RIGHT,1.184991837,
2/7/2018 20:08,4,"What male singing voice type is higher than a bass, but lower than a tenor?",Baritone,Countertenor,Sopranist,A,,,RIGHT,1.217389584,
2/7/2018 20:09,5,Which of these is NOT a real berry?,Buffaloberry,Iceberry,Cloudberry,B,WRONG,,,1.183499575,
2/7/2018 20:10,6,George Washington Carver is famous for his scientific work on what subject?,Soil depletion,Irrigation technology,Food packaging,A,,,RIGHT,2.985230207,
2/7/2018 20:11,7,Which of these is NOT believed to be a function of the uvula?,Taste,Speech,Lubricant,A,WRONG,,,2.401660442,
2/7/2018 20:12,8,Which of these baseball legends was a first-ballot Hall of Famer?,Joe DiMaggio,Cy Young,Mickey Mantle,C,WRONG,,,1.239315033,
2/7/2018 20:15,9,Which of these things can be mathematically described as an oblate spheroid?,NFL football,Unshelled peanut,Planet Earth,C,,,RIGHT,1.215409517,
2/8/2018 2:04,1,"""Fro-yo"" is short for what?",Frolicking yokels,Frozen yogurt,Frog yoga,B,,,RIGHT,1.105479479,
2/8/2018 2:06,3,What is the name of a Japanese art form that features trees grown in containers?,Kawaii,Bonsai,Manga,B,,,RIGHT,1.427490711,
2/8/2018 2:06,4,What college football team's chant is also likely to be heard on a farm?,Arkansas Razorbacks,Ole Miss Rebels,Penn State Lions,A,,,RIGHT,2.918780327,
2/8/2018 2:08,5,"What legendary ""Buffalo Bill's Wild West"" star had a negative-sounding nickname?",Annie Oakley,May Lillie,Martha Jane Cannary,C,WRONG,,,2.026439905,
2/8/2018 2:09,6,Where did Bernese Mountain Dogs originate?,Myanmar,Switzerland,Afghanistan,B,,,RIGHT,1.174249649,
2/8/2018 2:10,7,Which fashion designer is grandmother to a literal princess?,Diane von Fürstenberg,Rei Kawakubo,Vivienne Westwood,A,,NO_TRY,,1.326843739,
2/8/2018 2:11,8,Which film features the same kind of talking animal as the Old Testament book Numbers?,The Lion King,Finding Nemo,Shrek,C,,NO_TRY,,1.676736593,
2/8/2018 2:13,10,In which country is GeoCities still up and running?,Canada,Japan,Australia,B,,,RIGHT,1.716860294,
2/8/2018 2:14,11,"Before the lyrics are sung, how many finger snaps are heard in the ""Addams Family"" theme song?",12 snaps,6 snaps,8 snaps,A,,NO_TRY,,2.435143948,
2/8/2018 20:03,1,"Which of these is the name of a princess in Disney's ""Frozen""?",Frosier,Jack Frost,Elsa,C,,,RIGHT,1.733246088,
2/8/2018 20:04,2,The Olympic logo features what combination of shapes?,Two triangles,Five rings,Seven parabolas,B,,NO_TRY,,1.363505125,
2/8/2018 20:05,3,"The Italian cooking term ""al dente"" means what?",Firm,With butter,Salted,A,,NO_TRY,,1.652088404,
2/8/2018 20:06,4,"Which of these companies offers a ""freemium"" service?",Spotify,Netflix,Tidal,A,,NO_TRY,,1.215941906,
2/8/2018 20:07,5,What word does Nestlé use to describe their Toll House chocolate chips?,Morsels,Nibbles,Samples,A,,,RIGHT,2.223783493,
2/8/2018 20:07,6,"Which of these countries legally guarantees its citizens ""freedom to roam""?",Brazil,Sweden,Mongolia,B,,,RIGHT,2.78276968,
2/8/2018 20:08,7,Bill Cunningham was a key influence in what style of photography?,Tilt-shift,Portrait,Street style,C,,NO_TRY,,1.342696667,
2/8/2018 20:09,8,"""INTJ"" is a personality type based on a hypothesis by which psychiatrist?",B.F. Skinner,Carl Jung,Sigmund Freud,B,,,RIGHT,1.21106267,
2/8/2018 20:09,9,Which of these activists is the subject of a song by John Lennon and Yoko Ono?,Angela Davis,"Martin Luther King, Jr.",Bobby Seale,A,,,RIGHT,1.349678516,
2/8/2018 20:10,10,The U.S. flag bearer for the 2018 Olympics is a medalist in what event?,Figure skating,Speed skating,Luge,C,WRONG,,,1.313783169,
2/8/2018 20:12,11,Which of these people was born with the same name as a famous ketchup?,Henry Ford,Karl Marx,Henry Kissinger,C,,NO_TRY,,2.356778622,
2/9/2018 2:06,1,What form of energy do batteries provide?,Synergy,Emotional,Electrical,C,,,RIGHT,2.612530231,
2/9/2018 2:07,2,"Which ""Rose"" was the lead singer of Guns N' Roses?",Pete,Jalen,Axl,C,,,RIGHT,1.760970116,
2/9/2018 2:08,3,"In a best-selling Little Golden Book, who was ""The Monster at The End of This Book""?",Sesame Street's Grover,Dracula,The reader,A,,NO_TRY,,63.36001062,
2/9/2018 2:08,4,"""Embarazada"" is the Spanish word for what?",Naked,Pregnant,Embarrassed,B,,NO_TRY,,2.269726753,
2/9/2018 2:09,5,Which American car manufacturer first introduced seat belts?,Jeep,Ford,Nash,C,WRONG,,,2.440733194,first
2/9/2018 2:10,6,Which of these authors has NOT written a comic book about Black Panther?,Roxane Gay,Ta-Nehisi Coates,Cornel West,C,WRONG,,,1.899008036,
2/9/2018 2:12,7,"Last year, Microsoft angered customers by announcing it would eliminate what Windows software?",WordPad,Solitaire,Paint,C,WRONG,,,1.288272381,
2/9/2018 2:12,8,A 1984 Devo album has the same name as a massive 1984 single by what band?,The Human League,Pet Shop Boys,Tears for Fears,C,WRONG,,,1.265659332,
2/9/2018 2:14,10,"In da Vinci's ""Last Supper,"" which disciple is depicted holding a weapon?",Peter,Judas,John,A,WRONG,,,1.920362234,
2/9/2018 20:05,1,Which term is shorthand for a useful item when changing a flat tire?,Surplus,Spare,Supplement,B,,,RIGHT,3.111975431,
2/9/2018 20:07,3,What Olympic legend was the subject of a song in an Oscar-nominated 1999 film?,Brian Boitano,Kristi Yamaguchi,Michelle Kwan,A,,NO_TRY,,1.824523926,
2/9/2018 20:09,4,Which of these items would be measured on the Scoville scale?,Habanero,Typhoon,Emerald,A,,,RIGHT,1.443733215,
2/9/2018 20:10,5,Which of these iconic African-American leaders was NOT born into slavery?,W.E.B. Du Bois,Frederick Douglass,Booker T. Washington,A,WRONG,,,1.375170469,
2/9/2018 20:10,6,A cat with what fur pattern is almost always female?,Calico,Tuxedo,Tabby,A,,,RIGHT,1.758337736,
2/9/2018 20:11,7,Which nation does NOT have a two-word capital city?,Brunei,Ethiopia,Malaysia,A,,,RIGHT,3.061062813,
2/9/2018 20:13,9,The athlete who has competed in the most Olympic games hails from which country?,Canada,Finland,Japan,A,,,RIGHT,1.96889472,
2/9/2018 20:13,10,Which of these fonts was NOT created by Microsoft?,Comic Sans,Verdana,Papyrus,C,,NO_TRY,,1.294198036,
2/9/2018 20:14,11,"In the first known use of ""mammoth"" as an adjective, what item was it describing?",Hunk of cheese,Empire State Building,Dinosaur,A,,NO_TRY,,1.201096058,
2/9/2018 20:16,12,Which of these countries has a lower gross domestic product than any U.S. state?,Ecuador,Uzbekistan,Iceland,C,WRONG,,,4.012419701,
2/10/2018 2:07,1,"Which of these Olympians is most likely to perform a lutz, axel or toe loop jump?",Michael Phelps,Usain Bolt,Kristi Yamaguchi,C,,NO_TRY,,2.528717279,
2/10/2018 2:09,2,From what country did the American colonies win their independence?,Japan,Wakanda,Great Britain,C,,,RIGHT,1.545827389,
2/10/2018 2:09,3,Which of these animals is NOT native to Australia?,Capybara,Wallaby,Koala,A,,NO_TRY,,1.566232681,
2/10/2018 2:10,4,Which congressman participated in the Selma to Montgomery marches of 1965?,Cedric Richmond,John Lewis,Jason Lewis,B,,,RIGHT,1.430178642,
2/10/2018 2:11,5,The Ark of the Covenant supposedly contains what religious artifact?,The Ten Commandments,The Holy Grail,Shroud of Turin,A,,,RIGHT,3.083077192,
2/10/2018 2:13,6,Which of these actors is incapable of making a fist with his left hand?,Al Pacino,Morgan Freeman,Anthony Hopkins,B,,NO_TRY,,3.1734128,
2/10/2018 2:13,7,Which of these is NOT a term used in Olympic curling?,Hogged stone,Burned stone,Chunked stone,C,,NO_TRY,,1.771611214,
2/10/2018 2:13,8,"The ""Cha-Cha Slide"" includes a dance move named after what cartoon character?",Scooby-Doo,Daffy Duck,Charlie Brown,C,,NO_TRY,,1.480358124,
2/10/2018 2:14,9,Portuguese is an official language of which country?,Equatorial Guinea,Papua New Guinea,Republic of Guinea,A,,,RIGHT,1.796009302,
2/10/2018 2:15,11,Which chemical compound would you NOT use to create red and blue fireworks?,Sodium nitrate,Strontium carbonate,Copper chloride,A,,,RIGHT,2.400791883,
2/10/2018 2:17,12,King Louis XIV's Palace of Versailles contained over 150 pieces of furniture made entirely of what?,Silver,Ivory,Ebony,A,,NO_TRY,,2.094518423,
2/11/2018 2:07,1,Which of the following is NOT used to describe someone from that particular state?,Wisconsinian,Utahn,Connecticuter,A,,NO_TRY,,1.518302917,
2/11/2018 2:09,2,Lonnie Johnson accidentally created the Supersoaker while trying to build what?,Heat pump,Nerf Blaster rival,Efficient sprinklers,A,,NO_TRY,,1.549465418,
2/11/2018 2:10,3,"In gardening, what word refers to overall health and usability of soil?",Loam,Tilth,Humus,B,WRONG,,,1.60365057,
2/11/2018 2:11,4,Which type of musical composition is also an Olympic figure skating jump?,Sarabande,Bagatelle,Mazurka,C,,NO_TRY,,2.970770597,
2/11/2018 2:13,6,The westernmost region of Russia touches which of these countries?,Poland,Norway,Ukraine,A,WRONG,,,2.343694925,
2/12/2018 2:05,1,Which animals race at the Kentucky Derby?,Horses,Wiener dogs,Locusts,A,,NO_TRY,,1.274911165,
2/12/2018 2:06,2,What is the name for anger experienced while driving a car?,Highway displeasure,Street sadness,Road rage,C,,,RIGHT,2.303615808,
2/12/2018 2:07,3,Which of these products is a depilatory?,Nair,Rogaine,Pomade,A,WRONG,,,1.363977432,
2/12/2018 2:08,4,Which of these songs was NOT recorded by the Beach Boys?,Surf's Up,Surf City,Surfer Girl,B,WRONG,,,3.045966625,
2/12/2018 2:08,5,Auguste Rodin's statue The Thinker is meant to represent what real-life person?,Dante Alighieri,Michelangelo,Auguste Rodin,A,WRONG,,,1.660505295,
2/12/2018 2:09,6,Which of these is an alveolar disorder?,Pneumonia,Strep throat,Psoriasis,A,,,RIGHT,1.070150614,
2/12/2018 2:10,7,Which of these two-letter combos is an acceptable word in Scrabble?,Fi,Ro,Da,C,WRONG,,,1.364165545,
2/12/2018 2:11,8,Which of these Adam Sandler movies has a female director?,Billy Madison,The Wedding Singer,Big Daddy,A,WRONG,,,1.361654282,
2/12/2018 2:12,9,Which position was first held in the last year of the previous century?,Mayor of Singapore,Mayor of London,Mayor of Baghdad,B,,NO_TRY,,1.837433338,
2/12/2018 2:13,10,Which author's Pulitzer Prize-winning novel was adapted into a Broadway musical?,Jane Smiley,Annie Proulx,Alice Walker,C,,NO_TRY,,3.056110144,
2/12/2018 2:14,11,The first edition of the CNN show Crossfire featured which host?,John Sununu,Pat Buchanan,Tucker Carlson,B,,,RIGHT,1.77355957,
2/12/2018 2:15,12,"According to the Book of Leviticus, which of these animals is kosher to eat?",Owl,Cricket,Rabbit,B,WRONG,,,1.616508722,
2/12/2018 2:15,13,"Bart's age on ""The Simpsons"" is NOT the same as which of these characters?",Ash from Pokémon,Encyclopedia Brown,Nancy Drew,C,,NO_TRY,,1.260510683,
2/12/2018 2:18,15,The author who created Tarzan once worked for which of these publications?,Sports Illustrated,Paris Review,Sears catalog,C,WRONG,,,2.873105526,
2/12/2018 20:04,1,What is the mid-day meal usually called?,Jack Bauer Power Hour,Lunch,Sleepy time,B,,,RIGHT,2.509042263,
2/12/2018 20:05,2,In what part of a newspaper would you post an item for sale?,Sports section,Weather page,Classifieds,C,,NO_TRY,,1.817884445,
2/12/2018 20:06,3,"The ""skyhook"" is a move in which of these sports?",Polo,Acrobatics,Basketball,C,,,RIGHT,1.204503298,
2/12/2018 20:07,4,What U.S. state borders only one other U.S. state?,Alaska,Maine,Rhode Island,B,WRONG,,,1.758839369,
2/12/2018 20:07,5,"The author of ""The Picture of Dorian Gray"" was born in what country?",France,Ireland,United States,B,WRONG,,,3.422221184,
2/12/2018 20:08,6,What is the name of London's electronic public transit pass?,Opal,Oyster,Presto,B,,,RIGHT,2.689873934,
2/12/2018 20:09,7,"According to Marie Kondo, you should only own material items with what quality?",Eco-friendly,Useful in daily life,Spark joy,C,,NO_TRY,,1.243168116,
2/12/2018 20:10,8,Which of these North American deserts is the smallest?,Sonoran Desert,Mojave Desert,Chihuahuan Desert,B,,,RIGHT,1.549835682,
2/12/2018 20:11,9,"Which Secretary-General of the United Nations once appeared on ""Da Ali G Show""?",Kofi Annan,Ban Ki-moon,Boutros Boutros-Ghali,C,,,RIGHT,1.35199976,
2/12/2018 20:12,10,"One thousand years ago, which of these regions was heavily populated with Moorish people?",Albion,Novgorod,Iberia,C,,,RIGHT,2.545054197,
2/12/2018 20:13,11,The first official African-American fraternity was founded at what university?,Howard,Clemson,Cornell,C,WRONG,,,2.898663521,
2/12/2018 20:14,12,Which of these things did Skee-Lo NOT wish for in his hit '90s song?,1964 Impala,White shirt collar,Child named Big Al,B,,NO_TRY,,1.366362333,
2/13/2018 2:05,1,Who famously painted the ceiling of the Sistine Chapel?,Michelangelo,Bob Ross,Mr. Brainwash,A,,,RIGHT,1.731403112,
2/13/2018 2:05,2,Which U.S. coin features a portrait of Abraham Lincoln?,Kennedy half-dollar,Buffalo nickel,Penny,C,WRONG,,,1.315962553,
2/13/2018 2:06,3,Which of these is NOT a unit of temperature?,Celsius,Fahrenheit,Hectare,C,WRONG,,,2.084044695,
2/13/2018 2:07,4,"The R.E.M. song ""Man on the Moon"" was written about what comedian?",Jim Carrey,Mitch Hedberg,Andy Kaufman,C,,,RIGHT,3.067507029,
2/13/2018 2:08,5,"What disease gets its name from the Italian term for ""bad air""?",Influenza,Malaria,Asthma,B,,,RIGHT,1.599171162,
2/13/2018 2:09,6,Students of Auguste Escoffier would have known how to do what?,Design a chateau,Perform a grand jeté,Prepare a velouté,C,,NO_TRY,,1.539372206,
2/13/2018 2:10,7,A 1976 book by Richard Dawkins introduced what now-common word?,Android,Emoticon,Meme,C,,,RIGHT,1.305417061,
2/13/2018 2:11,8,"Which voice actor from ""The Emperor's New Groove"" was once blacklisted in Hollywood?",Eartha Kitt,Wendie Malick,Tom Jones,A,,,RIGHT,1.242444992,
2/13/2018 2:12,9,Which of these is NOT a menu option for ordering hash browns at Waffle House?,Capped,Slathered,Chunked,B,,NO_TRY,,2.483184099,
2/13/2018 2:12,10,"What math concept is traditionally notated by a tall, S-shaped curve?",Second derivative,Series,Integral,C,,NO_TRY,,2.484722376,
2/13/2018 2:14,11,Which of these supposedly hip cities does NOT have an Instagram filter named after it?,Nashville,Austin,Brooklyn,B,,,RIGHT,1.384984493,
2/13/2018 2:15,12,The inventor of the board game Risk also directed what award-winning film?,The 400 Blows,The Red Balloon,Last Year at Marienbad,B,,NO_TRY,,1.800218582,multi step
2/13/2018 20:04,1,"According to legend, what vessel is most likely to contain a wish-granting genie?",Magic limo,Magic lamp,Magic loofah,B,,NO_TRY,,33.28465605,repeated word in options
2/13/2018 20:05,2,"Which of these destinations is legally allowed to bill itself as ""The Happiest Place on Earth""?",Maryland,Orlando,Disneyland,C,,NO_TRY,,3.103466034,quote assosciation
2/13/2018 20:05,3,"At New Orleans Mardi Gras, what are float riders required to wear by law?",Tuxedos,Masks,Sweater vests,B,,NO_TRY,,1.625368595,
2/13/2018 20:06,4,Which of these is NOT part of the three-word Olympic motto?,Thicker,Higher,Faster,A,WRONG,,,1.337952614,
2/13/2018 20:07,5,Cirque du Soleil is a theater troupe first formed in which country?,USA,Canada,France,B,,,RIGHT,1.866545916,
2/13/2018 20:08,6,Which of these films does NOT prominently feature identical twins?,Adaptation,The Parent Trap,Twins,C,,,RIGHT,3.295339346,
2/13/2018 20:09,7,"The painting ""Washington Crosses the Delaware"" has appeared on which state quarter?",New Jersey,Delaware,Washington,A,WRONG,,,2.455331326,
2/13/2018 20:10,8,The 2008 Olympics were the first time the medals contained what material?,Jade,Amber,Coral,A,,NO_TRY,,1.733509064,
2/13/2018 20:10,9,"When written in all caps, which insult refers to a common type of computer user interface?",Clod,Wimp,Dolt,B,,NO_TRY,,1.694234848,
2/13/2018 20:12,11,"The ""Father of Art Deco"" designed over 200 covers for which magazine?",New Yorker,Harper's Bazaar,Vogue,B,,NO_TRY,,2.334651947,multi step
2/14/2018 2:04,1,"Who is Robert Downey, Jr.'s father?","Robert Downey, Sr.",Chet Downey III,"Morton Downey, Jr.",A,,NO_TRY,,4.118906021,
2/14/2018 2:05,2,"In July of 2017, Joey Chestnut set a world record by consuming 72 what?",Pickles,Hot dogs,Raw oysters,B,,NO_TRY,,1.812473297,
2/14/2018 2:07,3,Who just became the youngest woman to win gold in Olympics snowboarding?,Khloé Kardashian,Chloë Grace Moretz,Chloe Kim,C,,,RIGHT,1.471610785,
2/14/2018 2:08,4,"In Ancient Greece, Olympic athletes typically competed wearing what?",Togas,Laurel wreaths,Nothing at all,C,,NO_TRY,,2.977273464,
2/14/2018 2:08,5,"What pop star first recorded under the same name as the so-called ""sailor's devil""?",Elton John,David Bowie,Freddie Mercury,B,,NO_TRY,,3.039936543,
2/14/2018 2:09,6,"In the King James Bible, which of these measures ""six cubits and a span""?",Stone tablet,Noah's Ark,Goliath,C,,,RIGHT,1.269222736,
2/14/2018 2:10,7,Which of these is NOT a palindrome?,A Toyota's a Toyota,Was it a rat I saw?,"Walk sir, I'll risk law",C,,NO_TRY,,1.429147005,
2/14/2018 2:11,8,Aaron Sorkin & Quentin Tarantino helped write the screenplay to which movie?,The Rock,Con Air,Face/Off,A,,,RIGHT,1.638349533,
2/14/2018 2:12,9,"In 1997, Alabama's state bar association put up a monument to whom?",Atticus Finch,John Grisham,William Jennings Bryan,A,,NO_TRY,,2.627376318,
2/14/2018 2:13,10,"What Canadian city aptly takes its name from a Cree term for ""muddy water""?",Winnipeg,Ottawa,Toronto,A,,,RIGHT,3.251468182,
2/14/2018 2:14,11,Which of these performers was part of the first Lollapalooza festival lineup?,Soundgarden,Depeche Mode,Ice-T,C,WRONG,,,1.618703842,
2/14/2018 20:04,1,Hamburgers are usually made with what?,Yarn,Ground beef,Sweet dreams,B,,,RIGHT,1.461367369,
2/14/2018 20:05,2,Who is the reigning monarch of Great Britain?,Queen Elizabeth,Prince Paul,King Koopa,A,,,RIGHT,1.250715733,
